Iteration,Category,data_type,Min,Max,Mean,Median,STD
82,Mixture,skewness,0.07,0.07,0.07,0.07,0.0
71,Mixture,harmonic,-0.31,0.32,0.0,-0.0,0.07
71,Mixture,skewness,0.02,0.02,0.02,0.02,0.0
72,Mixture,harmonic,-0.5,0.47,-0.0,0.0,0.11
72,Mixture,skewness,-0.29,-0.29,-0.29,-0.29,0.0
73,Mixture,harmonic,-0.27,0.25,-0.0,-0.0,0.06
73,Mixture,skewness,0.05,0.05,0.05,0.05,0.0
74,Mixture,harmonic,-0.35,0.3,0.0,-0.0,0.07
74,Mixture,skewness,0.05,0.05,0.05,0.05,0.0
75,Mixture,harmonic,-0.4,0.38,0.0,0.0,0.08
75,Mixture,skewness,0.03,0.03,0.03,0.03,0.0
76,Mixture,harmonic,-0.35,0.35,-0.0,-0.0,0.07
76,Mixture,skewness,0.04,0.04,0.04,0.04,0.0
77,Mixture,harmonic,-0.29,0.32,-0.0,0.0,0.07
77,Mixture,skewness,0.09,0.09,0.09,0.09,0.0
78,Mixture,harmonic,-0.33,0.36,-0.0,-0.0,0.07
78,Mixture,skewness,0.06,0.06,0.06,0.06,0.0
79,Mixture,harmonic,-0.34,0.25,0.0,0.0,0.07
79,Mixture,skewness,-0.38,-0.38,-0.38,-0.38,0.0
80,Mixture,harmonic,-0.38,0.38,-0.0,0.0,0.07
80,Mixture,skewness,-0.08,-0.08,-0.08,-0.08,0.0
81,Mixture,harmonic,-0.37,0.35,-0.0,0.0,0.07
81,Mixture,skewness,-0.01,-0.01,-0.01,-0.01,0.0
82,Mixture,harmonic,-0.29,0.3,0.0,0.0,0.06
95,Mixture,skewness,0.08,0.08,0.08,0.08,0.0
175,Mixture,harmonic,-0.29,0.26,-0.0,0.0,0.07
96,Mixture,harmonic,-0.28,0.29,-0.0,-0.0,0.06
97,Mixture,harmonic,-0.27,0.22,-0.0,0.0,0.06
111,Mixture,harmonic,-0.37,0.33,0.0,0.0,0.09
111,Mixture,skewness,-0.19,-0.19,-0.19,-0.19,0.0
112,Mixture,harmonic,-0.18,0.32,0.0,-0.0,0.05
112,Mixture,skewness,0.29,0.29,0.29,0.29,0.0
113,Mixture,harmonic,-0.33,0.33,-0.0,-0.0,0.07
113,Mixture,skewness,0.05,0.05,0.05,0.05,0.0
114,Mixture,harmonic,-0.38,0.36,-0.0,-0.0,0.06
114,Mixture,skewness,0.04,0.04,0.04,0.04,0.0
115,Mixture,harmonic,-0.29,0.31,0.0,0.0,0.07
115,Mixture,skewness,0.04,0.04,0.04,0.04,0.0
110,Mixture,skewness,-0.06,-0.06,-0.06,-0.06,0.0
116,Mixture,harmonic,-0.34,0.31,-0.0,-0.0,0.07
117,Mixture,harmonic,-0.29,0.3,-0.0,-0.0,0.05
117,Mixture,skewness,0.0,0.0,0.0,0.0,0.0
118,Mixture,harmonic,-0.25,0.28,-0.0,-0.0,0.06
118,Mixture,skewness,0.11,0.11,0.11,0.11,0.0
119,Mixture,harmonic,-0.38,0.4,-0.0,-0.0,0.09
119,Mixture,skewness,0.08,0.08,0.08,0.08,0.0
120,Mixture,harmonic,-0.36,0.33,-0.0,-0.0,0.07
120,Mixture,skewness,0.03,0.03,0.03,0.03,0.0
121,Mixture,harmonic,-0.27,0.32,-0.0,-0.0,0.06
121,Mixture,skewness,0.07,0.07,0.07,0.07,0.0
116,Mixture,skewness,-0.03,-0.03,-0.03,-0.03,0.0
110,Mixture,harmonic,-0.26,0.22,-0.0,0.0,0.06
109,Mixture,skewness,-0.0,-0.0,-0.0,-0.0,0.0
109,Mixture,harmonic,-0.34,0.34,-0.0,0.0,0.07
97,Mixture,skewness,-0.0,-0.0,-0.0,-0.0,0.0
98,Mixture,harmonic,-0.31,0.32,-0.0,-0.0,0.07
98,Mixture,skewness,0.25,0.25,0.25,0.25,0.0
99,Mixture,harmonic,-0.4,0.42,-0.0,-0.0,0.08
99,Mixture,skewness,0.02,0.02,0.02,0.02,0.0
100,Mixture,harmonic,-0.28,0.25,-0.0,0.0,0.06
100,Mixture,skewness,-0.16,-0.16,-0.16,-0.16,0.0
101,Mixture,harmonic,-0.27,0.24,0.0,0.0,0.07
101,Mixture,skewness,-0.26,-0.26,-0.26,-0.26,0.0
102,Mixture,harmonic,-0.32,0.32,-0.0,0.0,0.07
102,Mixture,skewness,-0.04,-0.04,-0.04,-0.04,0.0
103,Mixture,harmonic,-0.45,0.42,0.0,-0.0,0.08
103,Mixture,skewness,0.16,0.16,0.16,0.16,0.0
104,Mixture,harmonic,-0.25,0.22,-0.0,0.0,0.06
104,Mixture,skewness,-0.24,-0.24,-0.24,-0.24,0.0
105,Mixture,harmonic,-0.3,0.25,0.0,0.0,0.06
105,Mixture,skewness,-0.21,-0.21,-0.21,-0.21,0.0
106,Mixture,harmonic,-0.26,0.28,0.0,0.0,0.05
106,Mixture,skewness,-0.07,-0.07,-0.07,-0.07,0.0
107,Mixture,harmonic,-0.33,0.29,0.0,-0.0,0.07
107,Mixture,skewness,-0.01,-0.01,-0.01,-0.01,0.0
108,Mixture,harmonic,-0.24,0.29,-0.0,0.0,0.05
108,Mixture,skewness,0.13,0.13,0.13,0.13,0.0
96,Mixture,skewness,-0.01,-0.01,-0.01,-0.01,0.0
70,Mixture,skewness,0.09,0.09,0.09,0.09,0.0
175,Mixture,skewness,-0.02,-0.02,-0.02,-0.02,0.0
176,Mixture,skewness,0.18,0.18,0.18,0.18,0.0
243,Mixture,harmonic,-0.3,0.28,0.0,0.0,0.06
243,Mixture,skewness,-0.1,-0.1,-0.1,-0.1,0.0
244,Mixture,harmonic,-0.42,0.42,-0.0,0.0,0.09
244,Mixture,skewness,-0.2,-0.2,-0.2,-0.2,0.0
245,Mixture,harmonic,-0.35,0.35,0.0,-0.0,0.08
245,Mixture,skewness,0.07,0.07,0.07,0.07,0.0
246,Mixture,harmonic,-0.26,0.31,0.0,-0.0,0.07
246,Mixture,skewness,0.07,0.07,0.07,0.07,0.0
247,Mixture,harmonic,-0.33,0.35,-0.0,-0.0,0.08
247,Mixture,skewness,0.08,0.08,0.08,0.08,0.0
242,Mixture,skewness,0.02,0.02,0.02,0.02,0.0
248,Mixture,harmonic,-0.26,0.29,-0.0,0.0,0.05
249,Mixture,harmonic,-0.3,0.27,0.0,-0.0,0.07
249,Mixture,skewness,-0.01,-0.01,-0.01,-0.01,0.0
250,Mixture,harmonic,-0.25,0.3,-0.0,0.0,0.05
250,Mixture,skewness,0.13,0.13,0.13,0.13,0.0
251,Mixture,harmonic,-0.29,0.31,0.0,0.0,0.07
251,Mixture,skewness,0.05,0.05,0.05,0.05,0.0
252,Mixture,harmonic,-0.19,0.14,-0.0,0.0,0.03
252,Mixture,skewness,-1.49,-1.49,-1.49,-1.49,0.0
253,Mixture,harmonic,-0.29,0.31,-0.0,0.0,0.06
253,Mixture,skewness,0.03,0.03,0.03,0.03,0.0
248,Mixture,skewness,-0.12,-0.12,-0.12,-0.12,0.0
254,Mixture,harmonic,-0.26,0.28,0.0,-0.0,0.07
242,Mixture,harmonic,-0.35,0.32,0.0,0.0,0.07
241,Mixture,harmonic,-0.3,0.29,-0.0,-0.0,0.07
230,Mixture,harmonic,-0.22,0.22,-0.0,-0.0,0.05
230,Mixture,skewness,0.04,0.04,0.04,0.04,0.0
231,Mixture,harmonic,-0.26,0.32,-0.0,-0.0,0.07
231,Mixture,skewness,0.02,0.02,0.02,0.02,0.0
232,Mixture,harmonic,-0.32,0.3,0.0,-0.0,0.07
232,Mixture,skewness,0.06,0.06,0.06,0.06,0.0
233,Mixture,harmonic,-0.3,0.33,0.0,0.0,0.07
233,Mixture,skewness,-0.03,-0.03,-0.03,-0.03,0.0
234,Mixture,harmonic,-0.37,0.36,0.0,0.0,0.07
234,Mixture,skewness,-0.05,-0.05,-0.05,-0.05,0.0
241,Mixture,skewness,-0.03,-0.03,-0.03,-0.03,0.0
235,Mixture,harmonic,-0.23,0.19,0.0,0.0,0.05
236,Mixture,harmonic,-0.32,0.33,-0.0,0.0,0.08
236,Mixture,skewness,0.02,0.02,0.02,0.02,0.0
237,Mixture,harmonic,-0.36,0.33,0.0,0.0,0.07
237,Mixture,skewness,-0.15,-0.15,-0.15,-0.15,0.0
238,Mixture,harmonic,-0.32,0.31,0.0,-0.0,0.07
238,Mixture,skewness,0.06,0.06,0.06,0.06,0.0
239,Mixture,harmonic,-0.34,0.32,0.0,0.0,0.07
239,Mixture,skewness,-0.3,-0.3,-0.3,-0.3,0.0
240,Mixture,harmonic,-0.18,0.21,-0.0,0.0,0.04
240,Mixture,skewness,-0.22,-0.22,-0.22,-0.22,0.0
235,Mixture,skewness,-0.19,-0.19,-0.19,-0.19,0.0
254,Mixture,skewness,0.07,0.07,0.07,0.07,0.0
255,Mixture,harmonic,-0.32,0.32,0.0,-0.0,0.07
255,Mixture,skewness,0.06,0.06,0.06,0.06,0.0
269,Mixture,skewness,-0.05,-0.05,-0.05,-0.05,0.0
270,Mixture,harmonic,-0.27,0.35,0.0,-0.0,0.07
270,Mixture,skewness,0.08,0.08,0.08,0.08,0.0
271,Mixture,harmonic,-0.37,0.28,-0.0,0.0,0.06
271,Mixture,skewness,-0.33,-0.33,-0.33,-0.33,0.0
272,Mixture,harmonic,-0.26,0.29,-0.0,0.0,0.05
272,Mixture,skewness,0.05,0.05,0.05,0.05,0.0
273,Mixture,harmonic,-0.07,0.11,0.0,-0.0,0.02
273,Mixture,skewness,1.04,1.04,1.04,1.04,0.0
274,Mixture,harmonic,-0.33,0.28,-0.0,0.0,0.06
269,Mixture,harmonic,-0.32,0.29,0.0,0.0,0.06
274,Mixture,skewness,-0.09,-0.09,-0.09,-0.09,0.0
275,Mixture,skewness,-0.15,-0.15,-0.15,-0.15,0.0
276,Mixture,harmonic,-0.29,0.27,0.0,-0.0,0.05
276,Mixture,skewness,-0.03,-0.03,-0.03,-0.03,0.0
277,Mixture,harmonic,-0.32,0.31,0.0,-0.0,0.07
277,Mixture,skewness,0.05,0.05,0.05,0.05,0.0
278,Mixture,harmonic,-0.28,0.33,0.0,-0.0,0.07
278,Mixture,skewness,0.13,0.13,0.13,0.13,0.0
279,Mixture,harmonic,-0.25,0.27,-0.0,0.0,0.05
279,Mixture,skewness,-0.02,-0.02,-0.02,-0.02,0.0
280,Mixture,harmonic,-0.25,0.24,-0.0,0.0,0.06
275,Mixture,harmonic,-0.38,0.29,0.0,0.0,0.07
268,Mixture,skewness,-0.14,-0.14,-0.14,-0.14,0.0
268,Mixture,harmonic,-0.34,0.27,0.0,-0.0,0.07
267,Mixture,skewness,-0.15,-0.15,-0.15,-0.15,0.0
256,Mixture,harmonic,-0.25,0.22,0.0,0.0,0.06
256,Mixture,skewness,-0.05,-0.05,-0.05,-0.05,0.0
257,Mixture,harmonic,-0.31,0.29,0.0,0.0,0.07
257,Mixture,skewness,-0.27,-0.27,-0.27,-0.27,0.0
258,Mixture,harmonic,-0.27,0.28,0.0,0.0,0.06
