Iteration,Category,data_type,Min,Max,Mean,Median,STD
77,Mixture,harmonic,-0.24,0.26,0.0,-0.0,0.06
77,Mixture,percussive,-0.43,0.5,0.0,-0.0,0.08
78,Mixture,harmonic,-0.34,0.33,-0.0,-0.0,0.08
78,Mixture,percussive,-0.44,0.44,-0.0,0.0,0.07
79,Mixture,harmonic,-0.39,0.43,-0.0,0.0,0.07
79,Mixture,percussive,-0.55,0.46,-0.0,-0.0,0.09
80,Mixture,harmonic,-0.32,0.35,-0.0,-0.0,0.07
80,Mixture,percussive,-0.42,0.4,0.0,-0.0,0.07
81,Mixture,harmonic,-0.24,0.25,-0.0,0.0,0.05
81,Mixture,percussive,-0.45,0.4,0.0,-0.0,0.07
82,Mixture,harmonic,-0.34,0.33,0.0,0.0,0.07
95,Mixture,percussive,-0.41,0.56,-0.0,-0.0,0.08
175,Mixture,harmonic,-0.28,0.25,-0.0,0.0,0.06
96,Mixture,harmonic,-0.32,0.4,-0.0,-0.0,0.07
97,Mixture,harmonic,-0.32,0.24,0.0,0.0,0.06
111,Mixture,harmonic,-0.4,0.36,0.0,0.0,0.09
111,Mixture,percussive,-0.58,0.51,0.0,0.0,0.09
112,Mixture,harmonic,-0.28,0.32,-0.0,-0.0,0.06
112,Mixture,percussive,-0.44,0.46,0.0,-0.0,0.08
113,Mixture,harmonic,-0.32,0.33,0.0,-0.0,0.06
113,Mixture,percussive,-0.42,0.4,0.0,0.0,0.09
114,Mixture,harmonic,-0.27,0.28,-0.0,0.0,0.05
114,Mixture,percussive,-0.47,0.44,0.0,0.0,0.09
115,Mixture,harmonic,-0.35,0.32,0.0,0.0,0.07
115,Mixture,percussive,-0.42,0.42,0.0,0.0,0.07
110,Mixture,percussive,-0.43,0.41,0.0,0.0,0.09
116,Mixture,harmonic,-0.34,0.31,0.0,-0.0,0.07
117,Mixture,harmonic,-0.34,0.32,-0.0,0.0,0.08
117,Mixture,percussive,-0.59,0.55,0.0,0.0,0.09
118,Mixture,harmonic,-0.26,0.25,-0.0,0.0,0.06
118,Mixture,percussive,-0.16,0.13,0.0,0.0,0.02
119,Mixture,harmonic,-0.42,0.39,0.0,-0.0,0.08
119,Mixture,percussive,-0.4,0.42,0.0,0.0,0.08
120,Mixture,harmonic,-0.3,0.31,-0.0,-0.0,0.05
120,Mixture,percussive,-0.44,0.41,0.0,0.0,0.08
121,Mixture,harmonic,-0.29,0.32,-0.0,-0.0,0.07
121,Mixture,percussive,-0.41,0.39,0.0,-0.0,0.07
116,Mixture,percussive,-0.5,0.43,0.0,0.0,0.07
110,Mixture,harmonic,-0.27,0.28,-0.0,0.0,0.06
109,Mixture,percussive,-0.47,0.45,0.0,0.0,0.1
109,Mixture,harmonic,-0.36,0.28,-0.0,0.0,0.05
97,Mixture,percussive,-0.4,0.41,0.0,-0.0,0.08
98,Mixture,harmonic,-0.32,0.36,0.0,-0.0,0.07
98,Mixture,percussive,-0.52,0.64,0.0,0.0,0.1
99,Mixture,harmonic,-0.31,0.34,-0.0,-0.0,0.07
99,Mixture,percussive,-0.5,0.52,0.0,-0.0,0.09
100,Mixture,harmonic,-0.3,0.34,0.0,0.0,0.07
100,Mixture,percussive,-0.43,0.41,0.0,0.0,0.05
101,Mixture,harmonic,-0.34,0.32,-0.0,0.0,0.07
101,Mixture,percussive,-0.46,0.44,-0.0,-0.0,0.08
102,Mixture,harmonic,-0.3,0.29,0.0,0.0,0.07
102,Mixture,percussive,-0.38,0.37,0.0,0.0,0.08
103,Mixture,harmonic,-0.28,0.36,-0.0,-0.0,0.07
103,Mixture,percussive,-0.47,0.46,0.0,-0.0,0.08
104,Mixture,harmonic,-0.31,0.34,-0.0,0.0,0.06
104,Mixture,percussive,-0.4,0.39,0.0,0.0,0.07
105,Mixture,harmonic,-0.27,0.29,-0.0,0.0,0.06
105,Mixture,percussive,-0.4,0.4,0.0,-0.0,0.07
106,Mixture,harmonic,-0.24,0.31,0.0,-0.0,0.06
106,Mixture,percussive,-0.42,0.38,-0.0,0.0,0.07
107,Mixture,harmonic,-0.33,0.32,-0.0,0.0,0.06
107,Mixture,percussive,-0.43,0.47,-0.0,-0.0,0.08
108,Mixture,harmonic,-0.29,0.29,-0.0,0.0,0.06
108,Mixture,percussive,-0.4,0.42,0.0,-0.0,0.08
96,Mixture,percussive,-0.4,0.46,0.0,0.0,0.08
70,Mixture,percussive,-0.42,0.39,0.0,0.0,0.09
175,Mixture,percussive,-0.36,0.38,-0.0,0.0,0.04
